matchNumber,teamNumber,tarmac,autoLower,autoUpper,teleopLower,teleopUpper,cycleTime,mainShots,climbScore,defensive,humanShot,rankingPoints,score,won,comments
6,8,Yes,0,0,0,11,High medium,Behind the line,6,No,No,NONE,75,WIN,Rotating turret and good shots 
19,8,Yes,0,5,,11,30 sec,outside line,10,No,Yes,HANGAR BONUS,95,WIN,
27,8,Yes,0,4,,6,Medim,Mid,0,Yes,No,BOTH,127,WIN,Fell hard
6,8,Yes,0,2,0,11,Medium ,Close to the line,10,No,No,NONE,75,WIN,
9,294,Yes,0,2,0,3,Medium,Behind the line,0,Yes,,NONE,48,LOSE,Good trajectories but it kept bouncing out
15,294,Yes,0,2,0,11,<15 secs,middle,0,No,Yes,NONE,32,LOSE,
34,294,Yes,0,1,0,0,Slow,Outside Line,0,Yes,,NONE,58,WIN,
46,294,Yes,0,2,0,9,"quick, 10-15 secs",outer line or back,0,No,Yes,NONE,62,LOSE,
42,294,Yes,0,0,0,7,Fast,Outside lines,0,No,,NONE,71,WIN,
2,597,Yes,0,,,,,,6,No,No,NONE,57,WIN,
21,597,No,,2,,5,Medium,Outer line ,6,No,No,HANGAR BONUS,78,LOSE,
28,597,No,1,0,0,2,Slow,Outside Line,6,No,,NONE,64,WIN,
42,597,No,0,0,0,7,10 sec,Corner ,4,No,No,NONE,40,LOSE,
14,597,No,0,0,4,3,Slow,Inside tarmac and against wall inside tarmac,0,No,No,BOTH,91,LOSE,"Both ranking points, average playing, shoots in both lower and upper. "
35,597,No,2,0,0,3,Mid,Close,4,Yes,No,NONE,44,WIN,
34,599,No,0,0,,1,NA,NA,,Yes,,NONE,58,WIN,
12,599,No,0,0,0,8,Medium,Behind tarmac line,0,No,No,NONE,36,LOSE,"Swerve drive and skillful driving, good intake"
17,599,No,0,0,0,5,Slow,On line,0,No,No,HANGAR BONUS,95,WIN,
44,599,No,0,0,0,0,None,None,0,Yes,No,NONE,6,LOSE,
12,687,Yes,0,0,0,0,No intake,None,6,Yes,No,HANGAR BONUS,0,LOSE,Very close to getting multiple fouls
18,687,No,0,2,0,0,didn’t shoot,didnt,0,Yes,No,NONE,79,WIN,
41,687,Yes,0,2,0,0,None,None,0,Yes,No,NONE,58,LOSE,
30,691,Yes,1,0,0,0,very quick but was getting blocked ,both near and far ,4,No,No,HANGAR BONUS,75,WIN,
12,691,Yes,1,0,4,1,30-45 secs,close,0,No,No,HANGAR BONUS,89,WIN,"had some issues shooting - shooting was slow, many shots were weaker than others resulting in 4 lower hub score compared to 1 upper hub"
20,691,No,2,,,4,Slow,Outer wall,6,No,No,HANGAR BONUS,82,LOSE,
25,691,Yes,1,0,1,4,Medium,Outside line,6,No,,NONE,35,LOSE,
30,691,Yes,1,0,0,0,Slow,Against hub,6,No,No,HANGAR BONUS,54,LOSE,Unable to shoot long range
6,696,Yes,0,4,0,2,7 sec ,outside tarmac ,4,No,No,NONE,75,WIN,almost fell on its side multiple times 
14,696,Yes,0,2,0,13,<12 sec,far - extremely accurate at long range,6,No,Yes,BOTH,91,LOSE,both ranking points
19,696,Yes,0,2,0,6,12 sec ,side ,15,No,No,NONE,95,WIN,
26,696,Yes,0,4,0,6,Fast,Mid,0,Yes,No,CARGO BONUS,102,LOSE,
21,1138,Yes,0,1,0,1,Slow,Outside line,15,No,,HANGAR BONUS,78,LOSE,
10,1138,Yes,0,2,0,4,Medium ,Mid range,10,No,No,NONE,62,LOSE,
24,1138,Yes,0,0,0,11,Slow,Behind the line,0,No,No,NONE,42,LOSE,"Average robot, nothing special"
13,1160,Yes,2,0,0,0,n/a,n/a,0,No,No,HANGAR BONUS,54,LOSE,"all shots were close, barely bouncing off. at 1:10 left in match the robot stopped moving"
4,1160,No,0,0,0,0,N/A,,0,No,No,NONE,49,LOSE,Choppy movement and inconsistent shots which always missed
20,1160,Yes,0,1,0,0,None,None,0,Yes,No,CARGO BONUS,95,WIN,
26,1160,Yes,0,1,0,4,Medium,Outside Line,0,No,,BOTH,127,WIN,Accurate shots
5,1197,Yes,0,2,0,,Mid,Behind/on the line,0,No,No,NONE,77,WIN,"Has a turret and swerve drive, not defensive though"
5,1197,Yes,0,2,0,,Medium ,On the line,0,No,No,NONE,77,WIN,"Went for mainly shots, had good aim "
10,1197,Yes,1,1,0,6,Medium,Behind the line,6,No,,NONE,79,WIN,Accurate shots
22,1197,Yes,0,2,0,16,Fast,Outside line,0,No,,CARGO BONUS,92,WIN,Accuracy near perfect
31,1197,Yes,,2,,9,,all over,6,No,Yes,HANGAR BONUS,93,LOSE,
18,1197,Yes,0,3,0,9,Fast,On to out of line,6,No,No,HANGAR BONUS,79,WIN,
39,1197,Yes,0,0,0,4,Mid,Close,6,No,No,HANGAR BONUS,77,LOSE,
4,1836,No,0,0,0,0,slow,didn’t shoot ,0,Yes,No,NONE,68,WIN,robot stayed in place and was moving in short bursts 
10,1836,Yes,0,0,0,0,N/A,N/A,0,No,No,NONE,62,LOSE,"Started climb early after not shooting, but did not manage to climb, robot might need fixing "
15,1836,Yes,,,,,N/A,N/A,0,Yes,,HANGAR BONUS,99,WIN,Ball kept getting stuck when trying to grab ball. Started climbing early
23,1836,Yes,0,0,0,0,NA,NA,6,No,,HANGAR BONUS,38,LOSE,Ball stuck most of the time
32,1836,Yes,,1,0,0,NA,NA,0,Yes,,NONE,59,WIN,Collected wrong colored balls. Attempted to climb
37,1836,No,1,0,0,0,Didn’t shoot,Didn’t ,0,No,No,NONE,48,LOSE,Broken 
4,2122,Yes,0,1,0,0,Slow,Behind the line,0,No,,NONE,49,LOSE,Got stuck 
8,2122,Yes,0,4,0,12,Fast,Far,10,No,No,NONE,62,LOSE,"Grabbed blue ball once, but moved fast and shot fast"
16,2122,Yes,0,2,2,9,Fast,,0,No,No,NONE,62,LOSE,
22,2122,Yes,,2,,10,Fast,Outer ,0,No,No,CARGO BONUS,92,WIN,
35,2122,Yes,0,1,0,4,Medium,Outside Line,15,No,,NONE,42,LOSE,
43,2122,Yes,0,1,0,3,Slow,Outside lines,15,No,No,NONE,51,WIN,
8,2122,Yes,,2,,8,12,Outer ,10,No,No,HANGAR BONUS,62,LOSE,
27,2637,Yes,1,3,,11,15 sec max,outer line,6,,,NONE,64,WIN,
7,2637,Yes,,2,1,4,10-12 secs,entry corner,15,No,Yes,HANGAR BONUS,82,WIN,inconsistent shooter 
11,2637,Yes,0,0,0,9,Fast,Far,0,No,No,NONE,61,LOSE,"Fell over after moving too fast, but had great shooting initially"
31,2658,No,0,0,0,0,None,None,0,Yes,No,NONE,105,WIN,
21,2658,Yes,0,2,,7,"10-30 secs, inconsistent",close,0,No,No,HANGAR BONUS,78,LOSE,climb broken
12,2659,Yes,0,1,1,10,Fast,Outside of line,15,No,,HANGAR BONUS,89,WIN,
16,2659,Yes,1,0,0,3,Medium,Within line,15,Yes,,HANGAR BONUS,52,LOSE,
34,2659,Yes,0,2,1,12,Medium fast,Inside tarmac,15,No,No,NONE,58,WIN,
44,2659,Yes,0,2,0,11,12 sec,Base ,15,No,Yes,BOTH,105,WIN,
26,2659,Yes,,2,0,2,Pretty fast,outside lines ,0,No,No,NONE,38,LOSE,
18,3128,Yes,0,2,,1,n/a,close,15,No,No,HANGAR BONUS,77,LOSE,seemed like there was an issue w shooting mechanism for this game
30,3128,Yes,0,0,3,0,Middle ,Outer tarmac ,15,No,No,HANGAR BONUS,54,LOSE,
24,3128,Yes,,4,,9,Medium,Outer,0,No,No,NONE,77,WIN,
7,3128,Yes,0,0,0,1,Half a minute per shot,Within lines,15,No,,HANGAR BONUS,82,WIN,Trajectories were off but was fast at climbing
14,3128,Yes,0,3,0,3,2,inner,4,No,No,HANGAR BONUS,96,WIN,
30,3128,Yes,0,0,1,1,Medium,Within line,15,No,,HANGAR BONUS,54,LOSE,
